turn,steps,actions,enemy_move,enemy_attack_intent,enemy_block_intent,enemy_strength_intent,player_hp_start,player_hp_end,nibbit_hp_start,nibbit_hp_end,player_block_start,enemy_block_start,enemy_block_end,enemy_strength_start,enemy_strength_end,enemy_vulnerable_start,enemy_vulnerable_end,damage_dealt_total,damage_taken_total,reward_total,done,win
1,0 -> 1,Strike -> End Turn,Nibbit Turn 1: Attack 12,12,0,0,80,68,46,40,0,0,0,0,0,0,0,6.0,12.0,-6.1,False,False
2,2 -> 3 -> 4,Bash -> Defend -> End Turn,Nibbit Turn 2: Attack 6 + Block 5,6,5,0,68,67,40,32,0,0,5,0,0,0,1,8.0,1.0,6.85,False,False
3,5,End Turn,Nibbit Turn 3: Gain Strength 2,0,0,2,67,67,32,32,0,5,5,0,2,1,0,0.0,0.0,-0.05,False,False
4,6 -> 7,Strike -> End Turn,Nibbit Turn 1: Attack 12,14,0,0,67,53,32,31,0,5,0,2,2,0,0,1.0,14.0,-13.1,False,False
5,8 -> 9 -> 10,Defend -> Strike -> End Turn,Nibbit Turn 2: Attack 6 + Block 5,8,5,0,53,50,31,25,0,0,5,2,2,0,0,6.0,3.0,2.85,False,False
6,11,End Turn,Nibbit Turn 3: Gain Strength 2,0,0,2,50,50,25,25,0,5,5,2,4,0,0,0.0,0.0,-0.05,False,False
7,12 -> 13 -> 14,Strike -> Defend -> End Turn,Nibbit Turn 1: Attack 12,16,0,0,50,39,25,24,0,5,0,4,4,0,0,1.0,11.0,-10.15,False,False
8,15 -> 16 -> 17 -> 18,Defend -> Strike -> Defend -> End Turn,Nibbit Turn 2: Attack 6 + Block 5,10,5,0,39,39,24,18,0,0,5,4,4,0,0,6.0,0.0,5.8,False,False
9,19 -> 20 -> 21,Strike -> Bash -> End Turn,Nibbit Turn 3: Gain Strength 2,0,0,2,39,39,18,9,0,5,0,4,6,0,1,9.0,0.0,8.85,False,False
10,22,Strike,Nibbit Turn 1: Attack 12,18,0,0,39,39,9,0,0,0,0,6,6,1,1,9.0,0.0,108.95,True,True
