step,turn,player_hp_before,player_block_before,enemy_hp_before,enemy_block_before,enemy_strength_before,enemy_attack_intent,enemy_block_intent,enemy_strength_intent,enemy_vulnerable_before,energy_before,hand_strike,hand_defend,hand_bash,enemy_move,action,action_name,damage_before_block,blocked_damage,damage_dealt,damage_taken,enemy_block_gained,enemy_strength_gained,enemy_block_after,enemy_strength_after,enemy_vulnerable_after,player_hp_after,enemy_hp_after,reward,total_reward_after,done,win,next_state
0,1,64,0,48,0,0,12,0,0,0,3,3,2,0,Nibbit Turn 1: Attack 12,0,Strike,6,0,6,0,0,0,0,0,0,64,42,5.95,5.95,False,False,"[64, 42, 12, 0, 0, 0, 0, 0, 2, 2, 2, 0, 1, 2, 1, 1, 0, 0]"
1,1,64,0,42,0,0,12,0,0,0,2,2,2,0,Nibbit Turn 1: Attack 12,3,End Turn,0,0,0,12,0,0,0,0,0,52,42,-12.05,-6.1,False,False,"[52, 42, 6, 5, 0, 0, 0, 0, 3, 1, 3, 1, 3, 1, 0, 0, 0, 0]"
2,2,52,0,42,0,0,6,5,0,0,3,1,3,1,Nibbit Turn 2: Attack 6 + Block 5,2,Bash,8,0,8,0,0,0,0,0,2,52,34,7.95,1.85,False,False,"[52, 34, 6, 5, 0, 0, 0, 2, 1, 1, 3, 0, 3, 1, 0, 0, 0, 1]"
3,2,52,0,34,0,0,6,5,0,2,1,1,3,0,Nibbit Turn 2: Attack 6 + Block 5,1,Defend,0,0,0,0,0,0,0,0,2,52,34,-0.05,1.8,False,False,"[52, 34, 6, 5, 0, 0, 0, 2, 0, 1, 2, 0, 3, 1, 0, 0, 1, 1]"
4,2,52,5,34,0,0,6,5,0,2,0,1,2,0,Nibbit Turn 2: Attack 6 + Block 5,3,End Turn,0,0,0,1,5,0,5,0,1,51,34,-1.05,0.75,False,False,"[51, 34, 0, 0, 2, 5, 0, 1, 3, 3, 1, 1, 1, 3, 0, 0, 0, 0]"
5,3,51,0,34,5,0,0,0,2,1,3,3,1,1,Nibbit Turn 3: Gain Strength 2,3,End Turn,0,0,0,0,0,2,5,2,0,51,34,-0.05,0.7,False,False,"[51, 34, 14, 0, 0, 5, 2, 0, 3, 1, 4, 0, 3, 0, 1, 0, 0, 0]"
6,4,51,0,34,5,2,14,0,0,0,3,1,4,0,Nibbit Turn 1: Attack 12,0,Strike,6,5,1,0,0,0,0,2,0,51,33,0.95,1.65,False,False,"[51, 33, 14, 0, 0, 0, 2, 0, 2, 0, 4, 0, 3, 0, 1, 1, 0, 0]"
7,4,51,0,33,0,2,14,0,0,0,2,0,4,0,Nibbit Turn 1: Attack 12,3,End Turn,0,0,0,14,0,0,0,2,0,37,33,-14.05,-12.4,False,False,"[37, 33, 8, 5, 0, 0, 2, 0, 3, 3, 1, 1, 1, 3, 0, 0, 0, 0]"
8,5,37,0,33,0,2,8,5,0,0,3,3,1,1,Nibbit Turn 2: Attack 6 + Block 5,1,Defend,0,0,0,0,0,0,0,2,0,37,33,-0.05,-12.45,False,False,"[37, 33, 8, 5, 0, 0, 2, 0, 2, 3, 0, 1, 1, 3, 0, 0, 1, 0]"
9,5,37,5,33,0,2,8,5,0,0,2,3,0,1,Nibbit Turn 2: Attack 6 + Block 5,0,Strike,6,0,6,0,0,0,0,2,0,37,27,5.95,-6.5,False,False,"[37, 27, 8, 5, 0, 0, 2, 0, 1, 2, 0, 1, 1, 3, 0, 1, 1, 0]"
