step,turn,player_hp_before,player_block_before,enemy_hp_before,enemy_block_before,enemy_strength_before,enemy_attack_intent,enemy_block_intent,enemy_strength_intent,enemy_vulnerable_before,energy_before,hand_strike,hand_defend,hand_bash,enemy_move,action,action_name,damage_before_block,blocked_damage,damage_dealt,damage_taken,enemy_block_gained,enemy_strength_gained,enemy_block_after,enemy_strength_after,enemy_vulnerable_after,player_hp_after,enemy_hp_after,reward,total_reward_after,done,win,next_state
0,1,64,0,46,0,0,12,0,0,0,3,3,1,1,Nibbit Turn 1: Attack 12,0,Strike,6,0,6,0,0,0,0,0,0,64,40,5.95,5.95,False,False,"[64, 40, 12, 0, 0, 0, 0, 0, 2, 2, 1, 1, 1, 3, 0, 1, 0, 0]"
1,1,64,0,40,0,0,12,0,0,0,2,2,1,1,Nibbit Turn 1: Attack 12,0,Strike,6,0,6,0,0,0,0,0,0,64,34,5.95,11.9,False,False,"[64, 34, 12, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 3, 0, 2, 0, 0]"
2,1,64,0,34,0,0,12,0,0,0,1,1,1,1,Nibbit Turn 1: Attack 12,0,Strike,6,0,6,0,0,0,0,0,0,64,28,5.95,17.85,False,False,"[64, 28, 12, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 3, 0, 3, 0, 0]"
3,1,64,0,28,0,0,12,0,0,0,0,0,1,1,Nibbit Turn 1: Attack 12,3,End Turn,0,0,0,12,0,0,0,0,0,52,28,-12.05,5.8,False,False,"[52, 28, 6, 5, 0, 0, 0, 0, 3, 1, 3, 1, 3, 1, 0, 0, 0, 0]"
4,2,52,0,28,0,0,6,5,0,0,3,1,3,1,Nibbit Turn 2: Attack 6 + Block 5,0,Strike,6,0,6,0,0,0,0,0,0,52,22,5.95,11.75,False,False,"[52, 22, 6, 5, 0, 0, 0, 0, 2, 0, 3, 1, 3, 1, 0, 1, 0, 0]"
5,2,52,0,22,0,0,6,5,0,0,2,0,3,1,Nibbit Turn 2: Attack 6 + Block 5,2,Bash,8,0,8,0,0,0,0,0,2,52,14,7.95,19.7,False,False,"[52, 14, 6, 5, 0, 0, 0, 2, 0, 0, 3, 0, 3, 1, 0, 1, 0, 1]"
6,2,52,0,14,0,0,6,5,0,2,0,0,3,0,Nibbit Turn 2: Attack 6 + Block 5,3,End Turn,0,0,0,6,5,0,5,0,1,46,14,-6.05,13.65,False,False,"[46, 14, 0, 0, 2, 5, 0, 1, 3, 4, 1, 0, 0, 3, 1, 0, 0, 0]"
7,3,46,0,14,5,0,0,0,2,1,3,4,1,0,Nibbit Turn 3: Gain Strength 2,0,Strike,9,5,4,0,0,0,0,0,1,46,10,3.95,17.6,False,False,"[46, 10, 0, 0, 2, 0, 0, 1, 2, 3, 1, 0, 0, 3, 1, 1, 0, 0]"
8,3,46,0,10,0,0,0,0,2,1,2,3,1,0,Nibbit Turn 3: Gain Strength 2,0,Strike,9,0,9,0,0,0,0,0,1,46,1,8.95,26.55,False,False,"[46, 1, 0, 0, 2, 0, 0, 1, 1, 2, 1, 0, 0, 3, 1, 2, 0, 0]"
9,3,46,0,1,0,0,0,0,2,1,1,2,1,0,Nibbit Turn 3: Gain Strength 2,0,Strike,9,0,9,0,0,0,0,0,1,46,0,108.95,135.5,True,True,"[46, 0, 0, 0, 2, 0, 0, 1, 0, 1, 1, 0, 0, 3, 1, 3, 0, 0]"
